Customer_ID,Day,Counter_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Number_of_Items,Service_Time_Seconds,Service_Time_Minutes,Wait_Time_Seconds,Wait_Time_Minutes,Queue_Length_At_Arrival
19,01/07/2025,1,01/07/2025 17:15,01/07/2025 17:17,01/07/2025 17:18,7,94.15,1.569,114.51,1.909,0
20,01/07/2025,3,01/07/2025 17:15,01/07/2025 17:18,01/07/2025 17:19,13,94.95,1.583,144.66,2.411,1
21,01/07/2025,2,01/07/2025 17:16,01/07/2025 17:18,01/07/2025 17:23,29,315.09,5.251,144.45,2.407,2
22,01/07/2025,1,01/07/2025 17:16,01/07/2025 17:18,01/07/2025 17:21,27,190.78,3.18,136.8,2.28,3
23,01/07/2025,3,01/07/2025 17:16,01/07/2025 17:19,01/07/2025 17:21,14,99.91,1.665,191.77,3.196,4
24,01/07/2025,3,01/07/2025 17:17,01/07/2025 17:21,01/07/2025 17:22,8,80.64,1.344,233.69,3.895,4
25,01/07/2025,1,01/07/2025 17:17,01/07/2025 17:21,01/07/2025 17:22,4,50.89,0.848,238.69,3.978,5
26,01/07/2025,1,01/07/2025 17:18,01/07/2025 17:22,01/07/2025 17:24,6,91.44,1.524,271.67,4.528,5
27,01/07/2025,3,01/07/2025 17:18,01/07/2025 17:22,01/07/2025 17:24,1,113.02,1.884,268.32,4.472,6
28,01/07/2025,2,01/07/2025 17:18,01/07/2025 17:23,01/07/2025 17:28,23,284.27,4.738,317.45,5.291,7
29,01/07/2025,1,01/07/2025 17:18,01/07/2025 17:24,01/07/2025 17:26,14,160.72,2.679,327.84,5.464,6
30,01/07/2025,3,01/07/2025 17:19,01/07/2025 17:24,01/07/2025 17:27,17,161.19,2.687,325.58,5.426,7
31,01/07/2025,1,01/07/2025 17:19,01/07/2025 17:26,01/07/2025 17:28,13,99.37,1.656,437.15,7.286,8
32,01/07/2025,3,01/07/2025 17:19,01/07/2025 17:27,01/07/2025 17:29,14,118.67,1.978,445.36,7.423,8
33,01/07/2025,2,01/07/2025 17:19,01/07/2025 17:28,01/07/2025 17:32,30,270.61,4.51,507.79,8.463,9
34,01/07/2025,1,01/07/2025 17:20,01/07/2025 17:28,01/07/2025 17:31,22,163.29,2.721,508.23,8.471,10
35,01/07/2025,3,01/07/2025 17:20,01/07/2025 17:29,01/07/2025 17:31,13,120.27,2.005,546.08,9.101,11
36,01/07/2025,1,01/07/2025 17:22,01/07/2025 17:31,01/07/2025 17:34,24,177.17,2.953,541.96,9.033,10
37,01/07/2025,3,01/07/2025 17:23,01/07/2025 17:31,01/07/2025 17:32,6,88.66,1.478,490.98,8.183,9
38,01/07/2025,3,01/07/2025 17:27,01/07/2025 17:32,01/07/2025 17:33,1,54.7,0.912,307.83,5.131,5
39,01/07/2025,2,01/07/2025 17:31,01/07/2025 17:32,01/07/2025 17:36,23,225.17,3.753,90.59,1.51,1
40,01/07/2025,3,01/07/2025 17:31,01/07/2025 17:33,01/07/2025 17:36,21,156.35,2.606,113.37,1.889,2
41,01/07/2025,1,01/07/2025 17:32,01/07/2025 17:34,01/07/2025 17:37,21,177.42,2.957,110.53,1.842,3
42,02/07/2025,1,02/07/2025 17:01,02/07/2025 17:01,02/07/2025 17:04,29,194.78,3.246,0,0,0
43,02/07/2025,2,02/07/2025 17:01,02/07/2025 17:01,02/07/2025 17:03,7,131.87,2.198,0,0,0
44,02/07/2025,3,02/07/2025 17:03,02/07/2025 17:03,02/07/2025 17:05,22,160.2,2.67,0,0,0
45,02/07/2025,2,02/07/2025 17:03,02/07/2025 17:03,02/07/2025 17:04,4,76.79,1.28,36.58,0.61,0
46,02/07/2025,1,02/07/2025 17:03,02/07/2025 17:04,02/07/2025 17:06,17,142.83,2.381,48.64,0.811,1
47,02/07/2025,2,02/07/2025 17:04,02/07/2025 17:04,02/07/2025 17:06,3,86.59,1.443,56.44,0.941,1
48,02/07/2025,3,02/07/2025 17:04,02/07/2025 17:05,02/07/2025 17:07,6,84.52,1.409,99.95,1.666,2
49,02/07/2025,2,02/07/2025 17:06,02/07/2025 17:06,02/07/2025 17:09,14,177.86,2.964,0,0,0
50,02/07/2025,1,02/07/2025 17:08,02/07/2025 17:08,02/07/2025 17:10,8,62.16,1.036,0,0,0
51,02/07/2025,3,02/07/2025 17:09,02/07/2025 17:09,02/07/2025 17:11,20,145.48,2.425,0,0,0
52,02/07/2025,2,02/07/2025 17:09,02/07/2025 17:09,02/07/2025 17:12,15,142.4,2.373,40.67,0.678,0
53,02/07/2025,1,02/07/2025 17:09,02/07/2025 17:10,02/07/2025 17:11,7,103.71,1.729,22.15,0.369,1
54,02/07/2025,3,02/07/2025 17:10,02/07/2025 17:11,02/07/2025 17:14,19,200.84,3.347,65.62,1.094,0
55,02/07/2025,1,02/07/2025 17:10,02/07/2025 17:11,02/07/2025 17:13,16,127.62,2.127,48.32,0.805,1
56,02/07/2025,2,02/07/2025 17:10,02/07/2025 17:12,02/07/2025 17:14,11,142.95,2.383,70.62,1.177,2
57,02/07/2025,1,02/07/2025 17:11,02/07/2025 17:13,02/07/2025 17:16,11,142.08,2.368,164.16,2.736,3
58,02/07/2025,2,02/07/2025 17:11,02/07/2025 17:14,02/07/2025 17:16,15,143.86,2.398,192.4,3.207,4
59,02/07/2025,3,02/07/2025 17:11,02/07/2025 17:14,02/07/2025 17:18,34,240.69,4.012,183.61,3.06,3
60,02/07/2025,1,02/07/2025 17:13,02/07/2025 17:16,02/07/2025 17:17,1,55.78,0.93,167.32,2.789,3
61,02/07/2025,2,02/07/2025 17:13,02/07/2025 17:16,02/07/2025 17:19,8,158.17,2.636,193.78,3.23,4
62,02/07/2025,1,02/07/2025 17:13,02/07/2025 17:17,02/07/2025 17:20,29,193.68,3.228,199.72,3.329,5
63,02/07/2025,3,02/07/2025 17:15,02/07/2025 17:18,02/07/2025 17:21,18,160.82,2.68,216.74,3.612,3
64,02/07/2025,2,02/07/2025 17:15,02/07/2025 17:19,02/07/2025 17:23,25,259.35,4.322,252.85,4.214,4
65,02/07/2025,1,02/07/2025 17:15,02/07/2025 17:20,02/07/2025 17:23,13,180.35,3.006,300.79,5.013,5
66,02/07/2025,3,02/07/2025 17:15,02/07/2025 17:21,02/07/2025 17:22,12,85.64,1.427,351.29,5.855,6
67,02/07/2025,3,02/07/2025 17:16,02/07/2025 17:22,02/07/2025 17:24,13,102.95,1.716,409.7,6.828,7
68,02/07/2025,1,02/07/2025 17:17,02/07/2025 17:23,02/07/2025 17:25,7,128.99,2.15,384.19,6.403,6
69,02/07/2025,2,02/07/2025 17:17,02/07/2025 17:23,02/07/2025 17:27,20,204.42,3.407,413.24,6.887,7
70,02/07/2025,3,02/07/2025 17:17,02/07/2025 17:24,02/07/2025 17:27,32,170.37,2.839,431.68,7.195,7
71,02/07/2025,1,02/07/2025 17:18,02/07/2025 17:25,02/07/2025 17:27,11,104.12,1.735,396.9,6.615,7
72,02/07/2025,1,02/07/2025 17:18,02/07/2025 17:27,02/07/2025 17:29,10,149.59,2.493,500.38,8.34,8
73,02/07/2025,2,02/07/2025 17:19,02/07/2025 17:27,02/07/2025 17:30,17,194.46,3.241,474.71,7.912,9
74,02/07/2025,3,02/07/2025 17:19,02/07/2025 17:27,02/07/2025 17:30,20,153.77,2.563,481.64,8.027,10
75,02/07/2025,1,02/07/2025 17:19,02/07/2025 17:29,02/07/2025 17:31,9,109.79,1.83,605.37,10.09,10
76,02/07/2025,3,02/07/2025 17:19,02/07/2025 17:30,02/07/2025 17:33,21,201.82,3.364,607.72,10.129,11
77,02/07/2025,2,02/07/2025 17:20,02/07/2025 17:30,02/07/2025 17:33,10,155.66,2.594,588.7,9.812,11
78,02/07/2025,1,02/07/2025 17:21,02/07/2025 17:31,02/07/2025 17:33,12,95.79,1.597,619.26,10.321,12
79,02/07/2025,2,02/07/2025 17:24,02/07/2025 17:33,02/07/2025 17:38,30,292.66,4.878,508.05,8.467,8
80,02/07/2025,1,02/07/2025 17:25,02/07/2025 17:33,02/07/2025 17:35,24,144.05,2.401,488.59,8.143,9
81,02/07/2025,3,02/07/2025 17:26,02/07/2025 17:33,02/07/2025 17:34,9,91.06,1.518,396.44,6.607,9
82,02/07/2025,3,02/07/2025 17:27,02/07/2025 17:34,02/07/2025 17:37,12,158.46,2.641,448.18,7.47,8
83,02/07/2025,1,02/07/2025 17:27,02/07/2025 17:35,02/07/2025 17:38,19,200.93,3.349,477.05,7.951,8
84,02/07/2025,3,02/07/2025 17:27,02/07/2025 17:37,02/07/2025 17:39,11,104.06,1.734,590.29,9.838,9
85,03/07/2025,1,03/07/2025 17:00,03/07/2025 17:00,03/07/2025 17:01,2,58.86,0.981,0,0,0
86,03/07/2025,2,03/07/2025 17:02,03/07/2025 17:02,03/07/2025 17:05,12,158.11,2.635,0,0,0
87,03/07/2025,3,03/07/2025 17:02,03/07/2025 17:02,03/07/2025 17:04,13,140.17,2.336,0,0,0
88,03/07/2025,1,03/07/2025 17:02,03/07/2025 17:02,03/07/2025 17:03,9,61.19,1.02,0,0,0
89,03/07/2025,1,03/07/2025 17:03,03/07/2025 17:03,03/07/2025 17:06,21,161.09,2.685,38.31,0.638,0
90,03/07/2025,3,03/07/2025 17:03,03/07/2025 17:04,03/07/2025 17:06,10,73.28,1.221,78.72,1.312,1
91,03/07/2025,2,03/07/2025 17:03,03/07/2025 17:05,03/07/2025 17:08,25,228.79,3.813,64.72,1.079,1
92,03/07/2025,3,03/07/2025 17:04,03/07/2025 17:06,03/07/2025 17:08,13,114.96,1.916,121.19,2.02,2
93,03/07/2025,1,03/07/2025 17:04,03/07/2025 17:06,03/07/2025 17:07,9,75.73,1.262,132.83,2.214,3
94,03/07/2025,1,03/07/2025 17:04,03/07/2025 17:07,03/07/2025 17:09,17,132.95,2.216,195.46,3.258,4
95,03/07/2025,3,03/07/2025 17:04,03/07/2025 17:08,03/07/2025 17:09,12,93.8,1.563,204.6,3.41,5
96,03/07/2025,2,03/07/2025 17:04,03/07/2025 17:08,03/07/2025 17:10,8,101.36,1.689,238.17,3.97,6
97,03/07/2025,3,03/07/2025 17:05,03/07/2025 17:09,03/07/2025 17:12,28,158.52,2.642,268.83,4.481,5
98,03/07/2025,1,03/07/2025 17:05,03/07/2025 17:09,03/07/2025 17:12,14,125.58,2.093,283.16,4.719,6
99,03/07/2025,2,03/07/2025 17:05,03/07/2025 17:10,03/07/2025 17:13,16,197.95,3.299,315.26,5.254,7
100,03/07/2025,1,03/07/2025 17:05,03/07/2025 17:12,03/07/2025 17:14,17,129.38,2.156,362.32,6.039,8
101,03/07/2025,3,03/07/2025 17:06,03/07/2025 17:12,03/07/2025 17:15,17,189.32,3.155,365.32,6.089,8
102,03/07/2025,2,03/07/2025 17:06,03/07/2025 17:13,03/07/2025 17:17,17,224.26,3.738,455.27,7.588,9
103,03/07/2025,1,03/07/2025 17:07,03/07/2025 17:14,03/07/2025 17:16,22,166.61,2.777,414.95,6.916,9
104,03/07/2025,3,03/07/2025 17:07,03/07/2025 17:15,03/07/2025 17:16,8,71.42,1.19,485.17,8.086,10
105,03/07/2025,3,03/07/2025 17:07,03/07/2025 17:16,03/07/2025 17:18,14,108.38,1.806,518.39,8.64,10
106,03/07/2025,1,03/07/2025 17:08,03/07/2025 17:16,03/07/2025 17:19,10,136.63,2.277,527.24,8.787,10
107,03/07/2025,2,03/07/2025 17:08,03/07/2025 17:17,03/07/2025 17:20,16,175.83,2.931,538.27,8.971,11
108,03/07/2025,3,03/07/2025 17:08,03/07/2025 17:18,03/07/2025 17:20,17,122.34,2.039,567.46,9.458,11
109,03/07/2025,1,03/07/2025 17:10,03/07/2025 17:19,03/07/2025 17:20,16,94.66,1.578,549.32,9.155,10
110,03/07/2025,3,03/07/2025 17:10,03/07/2025 17:20,03/07/2025 17:23,18,183.78,3.063,608.04,10.134,11
111,03/07/2025,2,03/07/2025 17:10,03/07/2025 17:20,03/07/2025 17:21,5,87.31,1.455,584.31,9.739,11
112,03/07/2025,1,03/07/2025 17:11,03/07/2025 17:20,03/07/2025 17:23,33,188.77,3.146,580.39,9.673,12
113,03/07/2025,2,03/07/2025 17:11,03/07/2025 17:21,03/07/2025 17:24,8,158.45,2.641,645.45,10.758,13
114,03/07/2025,3,03/07/2025 17:12,03/07/2025 17:23,03/07/2025 17:24,4,75.27,1.254,641.83,10.697,12
115,03/07/2025,1,03/07/2025 17:13,03/07/2025 17:23,03/07/2025 17:25,15,112.18,1.87,654.63,10.911,13
116,03/07/2025,2,03/07/2025 17:14,03/07/2025 17:24,03/07/2025 17:26,12,129.5,2.158,634.09,10.568,13
117,03/07/2025,3,03/07/2025 17:14,03/07/2025 17:24,03/07/2025 17:27,15,151.58,2.526,627.2,10.453,13
118,03/07/2025,1,03/07/2025 17:14,03/07/2025 17:25,03/07/2025 17:27,16,125.37,2.09,688.37,11.473,14
119,03/07/2025,2,03/07/2025 17:14,03/07/2025 17:26,03/07/2025 17:30,16,210.5,3.508,727.63,12.127,15
120,03/07/2025,3,03/07/2025 17:14,03/07/2025 17:27,03/07/2025 17:29,18,121.85,2.031,756.21,12.603,16
121,03/07/2025,1,03/07/2025 17:14,03/07/2025 17:27,03/07/2025 17:29,12,120.03,2,790.41,13.174,17
122,03/07/2025,3,03/07/2025 17:15,03/07/2025 17:29,03/07/2025 17:31,17,108.94,1.816,841.12,14.019,18
123,03/07/2025,1,03/07/2025 17:15,03/07/2025 17:29,03/07/2025 17:31,9,72.11,1.202,853.65,14.227,18
124,03/07/2025,2,03/07/2025 17:16,03/07/2025 17:30,03/07/2025 17:35,35,288.42,4.807,847.92,14.132,19
125,03/07/2025,1,03/07/2025 17:16,03/07/2025 17:31,03/07/2025 17:32,1,69.88,1.165,873.65,14.561,20
126,03/07/2025,3,03/07/2025 17:16,03/07/2025 17:31,03/07/2025 17:32,14,88.99,1.483,852.01,14.2,19
127,03/07/2025,1,03/07/2025 17:16,03/07/2025 17:32,03/07/2025 17:33,10,75.86,1.264,917.77,15.296,20
128,03/07/2025,3,03/07/2025 17:17,03/07/2025 17:32,03/07/2025 17:35,21,191.12,3.185,938.01,15.634,21
129,04/07/2025,1,04/07/2025 17:00,04/07/2025 17:00,04/07/2025 17:02,19,123.56,2.059,0,0,0
130,04/07/2025,2,04/07/2025 17:01,04/07/2025 17:01,04/07/2025 17:02,1,86.09,1.435,0,0,0
131,04/07/2025,3,04/07/2025 17:01,04/07/2025 17:01,04/07/2025 17:02,8,57.52,0.959,0,0,0
132,04/07/2025,1,04/07/2025 17:01,04/07/2025 17:02,04/07/2025 17:04,17,115.13,1.919,35.92,0.599,0
133,04/07/2025,3,04/07/2025 17:02,04/07/2025 17:02,04/07/2025 17:04,14,95.82,1.597,0,0,0
134,04/07/2025,2,04/07/2025 17:02,04/07/2025 17:02,04/07/2025 17:05,10,151.43,2.524,0,0,0
135,04/07/2025,1,04/07/2025 17:03,04/07/2025 17:04,04/07/2025 17:04,1,40.05,0.667,56.77,0.946,0
136,04/07/2025,3,04/07/2025 17:05,04/07/2025 17:05,04/07/2025 17:07,16,126.23,2.104,0,0,0
137,04/07/2025,1,04/07/2025 17:05,04/07/2025 17:05,04/07/2025 17:09,24,207.27,3.455,0,0,0
138,04/07/2025,2,04/07/2025 17:06,04/07/2025 17:06,04/07/2025 17:08,12,140.69,2.345,0,0,0
139,04/07/2025,3,04/07/2025 17:06,04/07/2025 17:07,04/07/2025 17:09,21,143.58,2.393,63.67,1.061,0
140,04/07/2025,2,04/07/2025 17:06,04/07/2025 17:08,04/07/2025 17:09,9,77.72,1.295,105.09,1.751,1
141,04/07/2025,1,04/07/2025 17:06,04/07/2025 17:09,04/07/2025 17:11,17,126.09,2.102,146.73,2.445,2
142,04/07/2025,2,04/07/2025 17:08,04/07/2025 17:09,04/07/2025 17:11,7,120.67,2.011,99.97,1.666,2
143,04/07/2025,3,04/07/2025 17:08,04/07/2025 17:09,04/07/2025 17:11,17,122.96,2.049,97.79,1.63,3
144,04/07/2025,1,04/07/2025 17:09,04/07/2025 17:11,04/07/2025 17:13,11,107.26,1.788,137.26,2.288,3
145,04/07/2025,2,04/07/2025 17:09,04/07/2025 17:11,04/07/2025 17:14,15,157.3,2.622,112.27,1.871,2
146,04/07/2025,3,04/07/2025 17:10,04/07/2025 17:11,04/07/2025 17:15,25,200.89,3.348,112.09,1.868,2
147,04/07/2025,1,04/07/2025 17:10,04/07/2025 17:13,04/07/2025 17:16,21,170.49,2.842,161.85,2.697,3
148,04/07/2025,2,04/07/2025 17:10,04/07/2025 17:14,04/07/2025 17:15,6,96.03,1.601,215.85,3.598,4
149,04/07/2025,3,04/07/2025 17:10,04/07/2025 17:15,04/07/2025 17:17,20,143.11,2.385,256.73,4.279,5
150,04/07/2025,2,04/07/2025 17:11,04/07/2025 17:15,04/07/2025 17:18,13,155.61,2.594,279.02,4.65,6
151,04/07/2025,1,04/07/2025 17:12,04/07/2025 17:16,04/07/2025 17:18,18,137.98,2.3,235.43,3.924,4
152,04/07/2025,3,04/07/2025 17:12,04/07/2025 17:17,04/07/2025 17:19,4,97.39,1.623,301.41,5.023,5
153,04/07/2025,1,04/07/2025 17:15,04/07/2025 17:18,04/07/2025 17:19,7,79.59,1.326,174.87,2.915,3
154,04/07/2025,2,04/07/2025 17:15,04/07/2025 17:18,04/07/2025 17:23,35,314.14,5.236,176.28,2.938,4
155,04/07/2025,3,04/07/2025 17:15,04/07/2025 17:19,04/07/2025 17:20,6,50.32,0.839,208.82,3.48,5
156,04/07/2025,1,04/07/2025 17:16,04/07/2025 17:19,04/07/2025 17:22,25,154.9,2.582,211.14,3.519,4
157,04/07/2025,3,04/07/2025 17:16,04/07/2025 17:20,04/07/2025 17:21,13,106.04,1.767,214.18,3.57,5
158,04/07/2025,3,04/07/2025 17:17,04/07/2025 17:21,04/07/2025 17:24,23,128.88,2.148,253.71,4.229,5
159,04/07/2025,1,04/07/2025 17:18,04/07/2025 17:22,04/07/2025 17:24,12,127.9,2.132,253.87,4.231,6
160,04/07/2025,2,04/07/2025 17:18,04/07/2025 17:23,04/07/2025 17:25,9,131.02,2.184,291.43,4.857,5
161,04/07/2025,3,04/07/2025 17:19,04/07/2025 17:24,04/07/2025 17:26,10,127.25,2.121,244.45,4.074,4
162,04/07/2025,1,04/07/2025 17:20,04/07/2025 17:24,04/07/2025 17:26,26,130.25,2.171,250.56,4.176,4
163,04/07/2025,2,04/07/2025 17:20,04/07/2025 17:25,04/07/2025 17:27,5,105.36,1.756,303.77,5.063,5
164,04/07/2025,3,04/07/2025 17:23,04/07/2025 17:26,04/07/2025 17:28,13,118.84,1.981,181.09,3.018,4
165,04/07/2025,1,04/07/2025 17:24,04/07/2025 17:26,04/07/2025 17:28,12,104.49,1.741,142.95,2.383,3
166,04/07/2025,2,04/07/2025 17:25,04/07/2025 17:27,04/07/2025 17:30,14,161.95,2.699,120.88,2.015,3
167,04/07/2025,3,04/07/2025 17:25,04/07/2025 17:28,04/07/2025 17:30,15,117.91,1.965,127.52,2.125,3
168,04/07/2025,1,04/07/2025 17:27,04/07/2025 17:28,04/07/2025 17:30,12,101.93,1.699,73.35,1.222,2
169,05/07/2025,1,05/07/2025 17:01,05/07/2025 17:01,05/07/2025 17:03,12,88.68,1.478,0,0,0
170,05/07/2025,2,05/07/2025 17:01,05/07/2025 17:01,05/07/2025 17:06,25,252.45,4.207,0,0,0
171,05/07/2025,3,05/07/2025 17:02,05/07/2025 17:02,05/07/2025 17:04,17,143.52,2.392,0,0,0
172,05/07/2025,1,05/07/2025 17:03,05/07/2025 17:03,05/07/2025 17:05,23,150.28,2.505,7.54,0.126,0
173,05/07/2025,3,05/07/2025 17:04,05/07/2025 17:04,05/07/2025 17:07,24,152.48,2.541,29.41,0.49,0
174,05/07/2025,1,05/07/2025 17:04,05/07/2025 17:05,05/07/2025 17:07,16,109.18,1.82,103.18,1.72,1
175,05/07/2025,2,05/07/2025 17:04,05/07/2025 17:06,05/07/2025 17:09,33,226.6,3.777,117.37,1.956,2
176,05/07/2025,3,05/07/2025 17:04,05/07/2025 17:07,05/07/2025 17:09,19,120,2,155.86,2.598,3
177,05/07/2025,1,05/07/2025 17:05,05/07/2025 17:07,05/07/2025 17:10,23,176.82,2.947,130.7,2.178,3
178,05/07/2025,3,05/07/2025 17:06,05/07/2025 17:09,05/07/2025 17:10,8,86.35,1.439,167.97,2.799,2
179,05/07/2025,2,05/07/2025 17:06,05/07/2025 17:09,05/07/2025 17:11,7,93.86,1.564,187.78,3.13,3
180,05/07/2025,3,05/07/2025 17:07,05/07/2025 17:10,05/07/2025 17:14,37,222.15,3.702,192.85,3.214,3
181,05/07/2025,1,05/07/2025 17:07,05/07/2025 17:10,05/07/2025 17:11,1,36.97,0.616,160.71,2.678,3
182,05/07/2025,1,05/07/2025 17:07,05/07/2025 17:11,05/07/2025 17:13,13,129.72,2.162,195.12,3.252,4
183,05/07/2025,2,05/07/2025 17:08,05/07/2025 17:11,05/07/2025 17:14,13,167,2.783,186.78,3.113,5
184,05/07/2025,1,05/07/2025 17:08,05/07/2025 17:13,05/07/2025 17:15,17,102.09,1.701,281.54,4.692,6
185,05/07/2025,3,05/07/2025 17:09,05/07/2025 17:14,05/07/2025 17:16,11,137.58,2.293,278.77,4.646,6
186,05/07/2025,2,05/07/2025 17:09,05/07/2025 17:14,05/07/2025 17:18,21,244.19,4.07,270.97,4.516,7
187,05/07/2025,1,05/07/2025 17:09,05/07/2025 17:15,05/07/2025 17:17,22,144.09,2.401,316.48,5.275,8
188,05/07/2025,3,05/07/2025 17:10,05/07/2025 17:16,05/07/2025 17:17,8,87.12,1.452,368.12,6.135,8
189,05/07/2025,1,05/07/2025 17:10,05/07/2025 17:17,05/07/2025 17:20,21,163.68,2.728,401.39,6.69,7
190,05/07/2025,3,05/07/2025 17:13,05/07/2025 17:17,05/07/2025 17:21,25,224.46,3.741,269.99,4.5,5
191,05/07/2025,2,05/07/2025 17:13,05/07/2025 17:18,05/07/2025 17:20,4,152.45,2.541,294.84,4.914,6
192,05/07/2025,1,05/07/2025 17:14,05/07/2025 17:20,05/07/2025 17:22,13,107.94,1.799,370.67,6.178,7
193,05/07/2025,2,05/07/2025 17:14,05/07/2025 17:20,05/07/2025 17:23,14,146.41,2.44,374.93,6.249,6
194,05/07/2025,3,05/07/2025 17:15,05/07/2025 17:21,05/07/2025 17:23,22,121.41,2.023,392.52,6.542,6
195,05/07/2025,1,05/07/2025 17:15,05/07/2025 17:22,05/07/2025 17:22,1,32.25,0.538,392.94,6.549,7
196,05/07/2025,1,05/07/2025 17:15,05/07/2025 17:22,05/07/2025 17:25,24,176.58,2.943,404.32,6.739,8
197,05/07/2025,2,05/07/2025 17:16,05/07/2025 17:23,05/07/2025 17:24,6,54.4,0.907,395.21,6.587,8
198,05/07/2025,3,05/07/2025 17:16,05/07/2025 17:23,05/07/2025 17:26,20,181.25,3.021,410.61,6.843,9
199,05/07/2025,2,05/07/2025 17:16,05/07/2025 17:24,05/07/2025 17:29,35,287.83,4.797,442.61,7.377,10
200,05/07/2025,1,05/07/2025 17:16,05/07/2025 17:25,05/07/2025 17:27,17,96.24,1.604,514.8,8.58,11
201,05/07/2025,3,05/07/2025 17:17,05/07/2025 17:26,05/07/2025 17:29,21,141.56,2.359,570.79,9.513,12
202,05/07/2025,1,05/07/2025 17:17,05/07/2025 17:27,05/07/2025 17:29,13,136.27,2.271,585.26,9.754,13
203,05/07/2025,2,05/07/2025 17:19,05/07/2025 17:29,05/07/2025 17:31,19,160.55,2.676,594.11,9.902,11
204,05/07/2025,3,05/07/2025 17:19,05/07/2025 17:29,05/07/2025 17:30,14,116.07,1.934,570.83,9.514,12
205,05/07/2025,1,05/07/2025 17:19,05/07/2025 17:29,05/07/2025 17:31,13,142.38,2.373,581.7,9.695,13
206,05/07/2025,3,05/07/2025 17:21,05/07/2025 17:30,05/07/2025 17:33,19,158.31,2.638,561.71,9.362,12
207,05/07/2025,2,05/07/2025 17:22,05/07/2025 17:31,05/07/2025 17:35,20,256.57,4.276,555.37,9.256,11
208,05/07/2025,1,05/07/2025 17:23,05/07/2025 17:31,05/07/2025 17:33,16,124.75,2.079,507.79,8.463,11
209,05/07/2025,3,05/07/2025 17:23,05/07/2025 17:33,05/07/2025 17:37,26,223.74,3.729,579.82,9.664,10
210,05/07/2025,1,05/07/2025 17:26,05/07/2025 17:33,05/07/2025 17:35,13,128.41,2.14,438.44,7.307,9
