Customer_ID,Day,Arrival_Time,Number_of_Items,Service_Time_Seconds
61,2025-12-02,2025-12-02 17:29:53,11,69.62
62,2025-12-02,2025-12-02 17:30:02,2,44.57
63,2025-12-02,2025-12-02 17:32:59,15,74.95
64,2025-12-02,2025-12-02 17:34:46,7,57.3
65,2025-12-02,2025-12-02 17:36:04,1,51.52
66,2025-12-02,2025-12-02 17:36:48,7,51.21
67,2025-12-03,2025-12-03 17:02:01,21,97.02
68,2025-12-03,2025-12-03 17:02:58,23,88.21
69,2025-12-03,2025-12-03 17:04:51,23,111.05
70,2025-12-03,2025-12-03 17:05:22,23,96.53
71,2025-12-03,2025-12-03 17:05:39,11,66.33
72,2025-12-03,2025-12-03 17:05:59,7,63.88
73,2025-12-03,2025-12-03 17:07:50,5,48.55
74,2025-12-03,2025-12-03 17:11:21,13,74.71
75,2025-12-03,2025-12-03 17:12:51,38,111.53
76,2025-12-03,2025-12-03 17:15:41,11,51.44
77,2025-12-03,2025-12-03 17:17:10,10,56.09
78,2025-12-03,2025-12-03 17:19:36,10,50.76
79,2025-12-03,2025-12-03 17:20:04,14,71.74
80,2025-12-03,2025-12-03 17:20:58,8,49.87
81,2025-12-03,2025-12-03 17:21:42,1,38.87
82,2025-12-03,2025-12-03 17:22:37,14,76.32
83,2025-12-03,2025-12-03 17:23:59,8,68.65
84,2025-12-03,2025-12-03 17:24:56,23,104.59
85,2025-12-03,2025-12-03 17:25:23,19,91.22
86,2025-12-03,2025-12-03 17:30:38,1,39.92
87,2025-12-03,2025-12-03 17:33:15,24,110.1
88,2025-12-03,2025-12-03 17:34:14,20,77.17
89,2025-12-03,2025-12-03 17:36:25,18,83.17
90,2025-12-03,2025-12-03 17:38:30,24,104.02
91,2025-12-03,2025-12-03 17:39:02,18,84.51
92,2025-12-03,2025-12-03 17:39:12,14,49.31
93,2025-12-03,2025-12-03 17:43:06,27,122.54
94,2025-12-03,2025-12-03 17:43:11,16,83.43
95,2025-12-03,2025-12-03 17:43:32,13,69.59
96,2025-12-03,2025-12-03 17:44:21,23,115.15
97,2025-12-03,2025-12-03 17:46:42,9,63.67
98,2025-12-03,2025-12-03 17:48:00,18,77.97
99,2025-12-03,2025-12-03 17:49:09,12,46.33
100,2025-12-03,2025-12-03 17:49:43,16,74.56
101,2025-12-03,2025-12-03 17:51:23,15,85.12
102,2025-12-04,2025-12-04 17:01:23,19,99.58
103,2025-12-04,2025-12-04 17:01:31,12,75.69
104,2025-12-04,2025-12-04 17:01:44,17,98.19
105,2025-12-04,2025-12-04 17:02:44,18,84.26
106,2025-12-04,2025-12-04 17:02:52,16,85.92
107,2025-12-04,2025-12-04 17:03:13,17,93.0
108,2025-12-04,2025-12-04 17:04:55,14,70.26
109,2025-12-04,2025-12-04 17:06:38,10,45.58
110,2025-12-04,2025-12-04 17:06:47,22,96.98
111,2025-12-04,2025-12-04 17:10:24,39,155.91
112,2025-12-04,2025-12-04 17:10:27,5,60.49
113,2025-12-04,2025-12-04 17:10:51,19,83.23
114,2025-12-04,2025-12-04 17:12:51,8,50.06
115,2025-12-04,2025-12-04 17:13:57,17,78.84
116,2025-12-04,2025-12-04 17:14:16,16,76.63
117,2025-12-04,2025-12-04 17:16:58,6,46.53
118,2025-12-04,2025-12-04 17:17:24,19,82.96
119,2025-12-04,2025-12-04 17:18:49,11,63.63
120,2025-12-04,2025-12-04 17:18:57,20,95.33
121,2025-12-04,2025-12-04 17:23:11,11,54.14
122,2025-12-04,2025-12-04 17:25:13,1,21.21
123,2025-12-04,2025-12-04 17:28:43,23,114.85
124,2025-12-04,2025-12-04 17:29:42,6,25.74
125,2025-12-04,2025-12-04 17:35:15,22,89.54
126,2025-12-04,2025-12-04 17:36:03,8,68.11
127,2025-12-04,2025-12-04 17:36:37,34,118.79
128,2025-12-04,2025-12-04 17:37:34,5,59.5
129,2025-12-04,2025-12-04 17:37:44,4,23.26
130,2025-12-04,2025-12-04 17:38:59,18,82.04
131,2025-12-04,2025-12-04 17:39:25,8,68.07
